Date,TITAN.NS
2023-05-29,2785.642333984375
2023-05-30,2775.984619140625
2023-05-31,2796.538330078125
2023-06-01,2800.50048828125
2023-06-02,2834.57470703125
2023-06-05,2828.68115234375
2023-06-06,2854.1875
2023-06-07,2879.4462890625
2023-06-08,2849.77978515625
2023-06-09,2849.036865234375
2023-06-12,2825.610595703125
2023-06-13,2884.94384765625
2023-06-14,2879.545654296875
2023-06-15,2880.486328125
2023-06-16,2926.34814453125
2023-06-19,2940.51318359375
2023-06-20,2945.862060546875
2023-06-21,2942.989501953125
2023-06-22,2942.1474609375
2023-06-23,2911.34130859375
2023-06-26,2944.47509765625
2023-06-27,2947.545654296875
2023-06-28,2999.4501953125
2023-06-30,3018.81494140625
2023-07-03,3009.5537109375
2023-07-04,3045.5595703125
2023-07-05,3070.521240234375
2023-07-06,3077.00927734375
2023-07-07,3114.253662109375
2023-07-10,3016.735107421875
2023-07-11,3058.38720703125
2023-07-12,3067.203125
2023-07-13,3065.4638671875
2023-07-14,3036.446533203125
2023-07-17,3014.484619140625
2023-07-18,2977.7158203125
2023-07-19,2976.9208984375
2023-07-20,2970.610595703125
2023-07-21,2957.69189453125
2023-07-24,2960.57373046875
2023-07-25,3010.062255859375
2023-07-26,2989.54150390625
2023-07-27,2983.330810546875
2023-07-28,2968.324951171875
2023-07-31,2985.2685546875
2023-08-01,2983.131591796875
2023-08-02,2958.536376953125
2023-08-03,2883.955810546875
2023-08-04,2886.241455078125
2023-08-07,2886.440185546875
2023-08-08,2902.98583984375
2023-08-09,2937.41943359375
2023-08-10,2969.865234375
2023-08-11,2998.385986328125
2023-08-14,2991.8271484375
2023-08-16,2992.2744140625
2023-08-17,3052.545166015625
2023-08-18,3031.37841796875
2023-08-21,3059.05419921875
2023-08-22,3056.371337890625
2023-08-23,3050.805908203125
2023-08-24,3042.060791015625
2023-08-25,3048.023681640625
2023-08-28,3029.490234375
2023-08-29,3060.147216796875
2023-08-30,3062.9296875
2023-08-31,3085.04052734375
2023-09-01,3097.3134765625
2023-09-04,3080.916748046875
2023-09-05,3116.542236328125
2023-09-06,3156.193115234375
2023-09-07,3152.96337890625
2023-09-08,3179.09912109375
2023-09-11,3193.210205078125
2023-09-12,3165.882080078125
2023-09-13,3242.798095703125
2023-09-14,3240.9599609375
2023-09-15,3228.28955078125
2023-09-18,3318.62109375
2023-09-20,3285.976318359375
2023-09-21,3283.83984375
2023-09-22,3254.027587890625
2023-09-25,3263.41845703125
2023-09-26,3242.201904296875
2023-09-27,3194.452392578125
2023-09-28,3137.510498046875
2023-09-29,3129.113525390625
2023-10-03,3176.266845703125
2023-10-04,3146.851806640625
2023-10-05,3196.39013671875
2023-10-06,3289.05712890625
2023-10-09,3247.0712890625
2023-10-10,3248.760498046875
2023-10-11,3259.989990234375
2023-10-12,3264.4619140625
2023-10-13,3263.219482421875
2023-10-16,3280.759033203125
2023-10-17,3287.76513671875
2023-10-18,3262.22607421875
2023-10-19,3264.11376953125
2023-10-20,3245.779296875
2023-10-23,3199.619873046875
2023-10-25,3167.91943359375
2023-10-26,3081.41357421875
2023-10-27,3101.18896484375
2023-10-30,3096.965576171875
2023-10-31,3169.7080078125
2023-11-01,3153.5595703125
2023-11-02,3181.48388671875
2023-11-03,3254.027587890625
2023-11-06,3246.624267578125
2023-11-07,3249.75439453125
2023-11-08,3291.14404296875
2023-11-09,3263.219482421875
2023-11-10,3235.990966796875
2023-11-13,3244.33837890625
2023-11-15,3275.34326171875
2023-11-16,3315.09326171875
2023-11-17,3317.975341796875
2023-11-20,3324.931396484375
2023-11-21,3373.2275390625
2023-11-22,3408.40625
2023-11-23,3387.090087890625
2023-11-24,3375.7119140625
2023-11-28,3420.877685546875
2023-11-29,3407.85986328125
2023-11-30,3468.7763671875
2023-12-01,3467.683349609375
2023-12-04,3466.590087890625
2023-12-05,3523.134521484375
2023-12-06,3524.724365234375
2023-12-07,3562.983642578125
2023-12-08,3611.92578125
2023-12-11,3607.8017578125
2023-12-12,3549.071044921875
2023-12-13,3579.827880859375
