Date,LT.NS
2023-05-15,2183.8779296875
2023-05-16,2164.778564453125
2023-05-17,2157.3916015625
2023-05-18,2126.87158203125
2023-05-19,2128.669921875
2023-05-22,2154.475830078125
2023-05-23,2136.056884765625
2023-05-24,2123.9072265625
2023-05-25,2142.9091796875
2023-05-26,2156.273681640625
2023-05-29,2162.202880859375
2023-05-30,2148.83837890625
2023-05-31,2143.83251953125
2023-06-01,2145.92236328125
2023-06-02,2171.922607421875
2023-06-05,2204.726806640625
2023-06-06,2214.106201171875
2023-06-07,2250.60400390625
2023-06-08,2274.708984375
2023-06-09,2296.7724609375
2023-06-12,2274.36865234375
2023-06-13,2288.413330078125
2023-06-14,2289.045654296875
2023-06-15,2295.120361328125
2023-06-16,2300.466064453125
2023-06-19,2300.02880859375
2023-06-20,2315.240234375
2023-06-21,2327.341064453125
2023-06-22,2348.530029296875
2023-06-23,2322.57861328125
2023-06-26,2310.9150390625
2023-06-27,2321.12060546875
2023-06-28,2353.58447265625
2023-06-30,2406.168212890625
2023-07-03,2385.27099609375
2023-07-04,2392.852294921875
2023-07-05,2401.55126953125
2023-07-06,2418.8525390625
2023-07-07,2380.70263671875
2023-07-10,2370.399658203125
2023-07-11,2405.1962890625
2023-07-12,2386.1455078125
2023-07-13,2381.47998046875
2023-07-14,2402.960693359375
2023-07-17,2399.607421875
2023-07-18,2405.341796875
2023-07-19,2424.246826171875
2023-07-20,2419.921630859375
2023-07-21,2513.765625
2023-07-24,2532.233154296875
2023-07-25,2489.1259765625
2023-07-26,2572.083984375
2023-07-27,2585.642822265625
2023-07-28,2575.29150390625
2023-07-31,2606.200439453125
2023-08-01,2591.912109375
2023-08-02,2577.658203125
2023-08-03,2554.016357421875
2023-08-04,2582.32763671875
2023-08-07,2591.1748046875
2023-08-08,2587.53759765625
2023-08-09,2606.608642578125
2023-08-10,2598.64599609375
2023-08-11,2593.73095703125
2023-08-14,2614.767578125
2023-08-16,2645.38916015625
2023-08-17,2607.493408203125
2023-08-18,2597.1220703125
2023-08-21,2617.077880859375
2023-08-22,2633.34716796875
2023-08-23,2671.48876953125
2023-08-24,2642.538330078125
2023-08-25,2593.632568359375
2023-08-28,2649.6162109375
2023-08-29,2672.815673828125
2023-08-30,2663.03466796875
2023-08-31,2656.841552734375
2023-09-01,2656.251953125
2023-09-04,2665.09912109375
2023-09-05,2686.578125
2023-09-06,2684.12060546875
2023-09-07,2798.10302734375
2023-09-08,2852.36669921875
2023-09-11,2845.092041015625
2023-09-12,2894.145751953125
2023-09-13,2857.42919921875
2023-09-14,2869.078369140625
2023-09-15,2859.19873046875
2023-09-18,2870.30712890625
2023-09-20,2840.96337890625
2023-09-21,2850.15478515625
2023-09-22,2868.97998046875
2023-09-25,2853.25146484375
2023-09-26,2863.130859375
2023-09-27,2914.740234375
2023-09-28,2958.927490234375
2023-09-29,2972.24755859375
2023-10-03,3021.104248046875
2023-10-04,2976.376220703125
2023-10-05,3043.517333984375
2023-10-06,3041.207275390625
2023-10-09,3022.529541015625
2023-10-10,3023.8076171875
2023-10-11,3036.2919921875
2023-10-12,3029.4599609375
2023-10-13,3037.177001953125
2023-10-16,3049.267822265625
2023-10-17,3014.272216796875
2023-10-18,2993.92333984375
2023-10-19,3002.573974609375
2023-10-20,2961.23779296875
2023-10-23,2908.1044921875
2023-10-25,2866.62060546875
2023-10-26,2815.99462890625
2023-10-27,2852.66162109375
2023-10-30,2876.697021484375
2023-10-31,2879.350830078125
2023-11-01,2846.173583984375
2023-11-02,2868.5869140625
2023-11-03,2861.85302734375
2023-11-06,2924.963623046875
2023-11-07,2911.0537109375
2023-11-08,2945.607177734375
2023-11-09,2973.525634765625
2023-11-10,2981.782958984375
2023-11-13,2996.77392578125
2023-11-15,3012.945068359375
2023-11-16,2999.379150390625
2023-11-17,3056.24755859375
2023-11-20,3036.390380859375
2023-11-21,3022.677001953125
2023-11-22,3030.000732421875
2023-11-23,2993.972412109375
2023-11-24,3002.426513671875
2023-11-28,2998.248779296875
2023-11-29,3031.426025390625
2023-11-30,3056.444091796875
2023-12-01,3136.511962890625
2023-12-04,3257.326904296875
2023-12-05,3259.194580078125
2023-12-06,3334.74072265625
2023-12-07,3298.663330078125
2023-12-08,3321.125732421875
2023-12-11,3328.350830078125
2023-12-12,3285.687255859375
2023-12-13,3342.113525390625
2023-12-14,3374.848388671875
2023-12-15,3428.816650390625
2023-12-18,3432.355712890625
2023-12-19,3439.5810546875
2023-12-20,3360.49609375
2023-12-21,3366.050048828125
2023-12-22,3418.9375
2023-12-26,3430.832275390625
2023-12-27,3483.86669921875
2023-12-28,3458.35693359375
2023-12-29,3466.172119140625
2024-01-01,3465.63134765625
2024-01-02,3379.763671875
2024-01-03,3381.9755859375
2024-01-04,3400.013916015625
2024-01-05,3462.141357421875
2024-01-08,3441.69482421875
