Date,NESTLEIND.NS
2023-06-05,1060.604736328125
2023-06-06,1054.3505859375
2023-06-07,1086.5245361328125
2023-06-08,1075.8935546875
2023-06-09,1072.2286376953125
2023-06-12,1082.71630859375
2023-06-13,1092.589111328125
2023-06-14,1104.0601806640625
2023-06-15,1115.594482421875
2023-06-16,1115.7086181640625
2023-06-19,1107.2711181640625
2023-06-20,1115.0770263671875
2023-06-21,1111.9708251953125
2023-06-22,1094.5467529296875
2023-06-23,1094.73876953125
2023-06-26,1099.3023681640625
2023-06-27,1099.6156005859375
2023-06-28,1104.8057861328125
2023-06-30,1112.101806640625
2023-07-03,1099.3870849609375
2023-07-04,1098.974609375
2023-07-05,1112.3740234375
2023-07-06,1122.0673828125
2023-07-07,1112.6800537109375
2023-07-10,1096.8468017578125
2023-07-11,1110.061767578125
2023-07-12,1120.1531982421875
2023-07-13,1108.529296875
2023-07-14,1123.9420166015625
2023-07-17,1120.673095703125
2023-07-18,1116.12646484375
2023-07-19,1114.3680419921875
2023-07-20,1117.6224365234375
2023-07-21,1116.388671875
2023-07-24,1108.4976806640625
2023-07-25,1106.2049560546875
2023-07-26,1107.5164794921875
2023-07-27,1084.4625244140625
2023-07-28,1092.0208740234375
2023-07-31,1095.5377197265625
2023-08-01,1097.500244140625
2023-08-02,1111.51904296875
2023-08-03,1091.773193359375
2023-08-04,1090.73828125
2023-08-07,1090.9716796875
2023-08-08,1079.7967529296875
2023-08-09,1079.2696533203125
2023-08-10,1068.1629638671875
2023-08-11,1061.00537109375
2023-08-14,1063.7791748046875
2023-08-16,1066.130126953125
2023-08-17,1052.5072021484375
2023-08-18,1060.403076171875
2023-08-21,1070.3294677734375
2023-08-22,1069.92138671875
2023-08-23,1077.557373046875
2023-08-24,1080.5570068359375
2023-08-25,1077.8173828125
2023-08-28,1070.334228515625
2023-08-29,1071.72119140625
2023-08-30,1078.30322265625
2023-08-31,1068.0001220703125
2023-09-01,1064.5587158203125
2023-09-04,1055.94384765625
2023-09-05,1066.4482421875
2023-09-06,1068.8599853515625
2023-09-07,1063.6236572265625
2023-09-08,1062.98974609375
2023-09-11,1074.8323974609375
2023-09-12,1084.095703125
2023-09-13,1077.394775390625
2023-09-14,1091.8653564453125
2023-09-15,1098.8896484375
2023-09-18,1108.463623046875
